SNo,Surname,OtherNames,CountyCode,County,ConstituencyCode,ConstituencyName,CAWCode,CAWName,PartyCode,PartyName,PartyAbbreviation,ElectionType
57,Wayu,Pascal Galogalo,004,Tana River,019,Galole,0094,Chewani,017,Agano National Party,AGANO,County Assembly
58,Dae,Mohamed Mgawa,004,Tana River,019,Galole,0094,Chewani,055,Alliance for Change Party,AFC,County Assembly
59,Athman,Zena Luwa,004,Tana River,019,Galole,0094,Chewani,013,Democratic Party of Kenya,DP,County Assembly
60,Maro,Barakatuh Guyo,004,Tana River,019,Galole,0094,Chewani,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly
61,Bahola,Fredrick John,004,Tana River,019,Galole,0094,Chewani,049,Federal Party of Kenya,FPK,County Assembly
62,Jarha,Dhidha Mohamed,004,Tana River,019,Galole,0094,Chewani,052,Jirani Mzalendo Asili Party of Kenya,J-MAPK,County Assembly
63,Hamisi,Mohamed Berhe,004,Tana River,019,Galole,0094,Chewani,033,Kenya African National Union,KANU,County Assembly
64,Salim,Omar Guyo,004,Tana River,019,Galole,0094,Chewani,010,Mazingira Greens Party,MGP,County Assembly
65,Mohamed,Salimu Ahireho,004,Tana River,019,Galole,0094,Chewani,021,Orange Democratic Movement,ODM,County Assembly
66,Joel,Chekea Komora,004,Tana River,019,Galole,0094,Chewani,091,Pamaja African Alliance,PAA,County Assembly
67,Kofa,Ezekiel Mchawala,004,Tana River,019,Galole,0094,Chewani,001,People's Liberation Party,PLP,County Assembly
68,Jara,Mohamed Ali,004,Tana River,019,Galole,0094,Chewani,042,Shirikisho Party Kenya,SPK,County Assembly
69,Maro,Sophia Hamadawa,004,Tana River,019,Galole,0094,Chewani,015,United Democratic Alliance,UDA,County Assembly
70,Onchaga,Rashid Mariera,004,Tana River,019,Galole,0094,Chewani,041,United Democratic Movement,UDM,County Assembly
71,Hiyesa,Odha Ilu,004,Tana River,019,Galole,0094,Chewani,079,United Green Movement,UGM,County Assembly
72,Obara,Jared,,004,Tana River,019,Galole,0094,Chewani,081,United Progressive Alliance,UPA,County Assembly
73,Kolosho,Hassan Aden,007,Garissa,031,Fafi,0155,Fafi,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly
74,Mohamed,Feisal Gedi,007,Garissa,031,Fafi,0155,Fafi,021,Orange Democratic Movement,ODM,County Assembly
