S/No,Certificate Serial No.,Name of the Party,Abbreviation,Certificate Date of Issue,Symbol,Colors,Postal Address of Party,Location of Head Office of Party,Slogan,Changes
31,039,People’s Democratic Party,PDP,9th May 2012,Traditional African Bapp,Brown,10734-00100 Nairobi,"Camon Amex Hill Floor Nairobi Parliament Lane","Maniaka kwa Mwanachi",
32,040,The New Democrats,TND,9th May 2012,Bridge,"Red, Brown, Blue",43428-80100 Mombasa,"Safari Business Arcade, along USU Road, behind Safari Park Hotel.","Together We Can",
33,041,United Democratic Movement,UDM,11th May 2012,Goat,color,44820-00100 Nairobi,"Huffingham, Sunbeam Place, Ground fir, Along Tigoni Rd, Nairobi.","Saufya Viterbo",
34,042,Shinkisho Party of Kenya,SPK,1st May 2012,Shark,"Navy blue, Green, White",84056-80100 Mombasa,"Express First Floor Kilindini Road, Mombasa","Mwanko Mpya",
35,044,Party of Democratic Unity,PDU,1st May 2012,Dunn,"Green, Black, Red, White, Brown",51748-00200 Nairobi,"Kenya House Complex 1St Floor Unit 5. Nairobi Office. Grace House, Kikuyu Town","La’s Hold Our Hands",
36,045,Umoja na Maendeleo Party,UMP,21st May 2012,Factory,"Green, Black",71332-00622 Nairobi,"Strong House 1St Fr.Rm 207, Koinange Street.","Kumepantazuka","formerly Milenium Party of Kenya"
37,046,United Party of Independent Alliance (UPIA),UPIA,24th May 2012,Anvelope,"Green, Black",51851-00100 Nairobi,"Gem Lane Off Mandera Road, Kieleshwa, Nairobi","Let the People Decide","formerly Frontier Alliance Party"
38,047,Farmers Party,FP,24th May 2012,Maze Plant,Green,52828-00200 Nairobi,"Delta House, 5th Floor along University Way, Nairobi","A touch of stomach",
39,048,Economic Freedom Party.,EFP,24th May 2012,Acacia Tree,"Blue, white, Black",13521-00400 Nairobi,"Cool Waters Apartments, MD Fall, Woodlane, Huntingham.","Held, Usawa na Amani",
40,049,Federal Party of Kenya,FPK,24th May 2012,Fist,Black,34463-00100 Nairobi,"Annex Ground Limuru Road | House, Floor, Limuru Road","Inawazdana Tukijpanga",
41,050,Murugano Party,MP,24th May 2012,Interlocked rings,"Black, Green, White",19080-00100 Nairobi,"Wyalururu House, Khome Road","Usawa na baki twa wide",
42,051,The National Party,TNP,24th May 2012,Helmet,Colorless,2013-00200 Nairobi,"Imari House, Juja, 1st Floor, Room 2","Our Rights Our Life","Formerly National Party of Kenya"
43,052,Jirani Vizdenko Asilii Party of Kenya,JMAPK,4th July 2012,Red Shoe,"Red, Brown",66697-00800 Nairobi,"Rupran House, 2nd Floor, Mokkar Daddah Street","Jirani Mwema",
44,054,Chama Cha Masimari,CCM,27th July 2012,Golden Yellow Trumpet,Yellow,14009-0080 Nairobi,"Mandi Heights, Langala Road Opposite Tamarri Hotel",,
45,055,Alliance for Real Change,ARK,3rd October 2012,Aeroplane with the Party Name,"Maroon, Gold, Black, Grey, White",78943-006200 Nairobi,"Shamura’s Kitchen, 24th Crescent Road, Opposite MP Shah Hospital, Parklands","Pamgia Iwaneca",
46,056,Forum For Republican Democracy - Asili,FORD,15th October 2012,Two raised fingers inside the Kenyan Map,"Green, Black",69564-00400 Nairobi,"Kwarara Road, Off Bogan Road, Karen.","Haki ra Uswell","formerly Forum for Restoration of Democracy"
47,058,Republican Liberty Party,RLP,19th December 2012,Horse,"Royal Blue, Green, Orange",20148-00100 Nairobi,"Republican House, Gihurai 45, Mankolo Road","Liberty Powers of the People",
48,059,Roots Party of Kenya,RPK,15th January 2013,Tree and Roots,"Gold, Green, Brown",13678-0800 Nairobi,"Secretariat Office, Krishna Centre, Woodvale Grove, No.9","Shale the Tree",
49,060,Vikrant Democracy Party,VDP,1st October, 2012,Eagle,"Black, Yellow, Red, Blue",37886, Mombasa,"Habo Plaza, Kenyatia Avenue, Mombasa","Manto ni sasa","formerly Democratic Labour Party of Kenya"
50,061,Ubuntu Peoples Forum,UPF,3rd June 2015,Double thumbs up,"Black, White, Red",72185-00200 Nairobi,"Donholm Sunrise Plot &2402 Manyaja Road","Suit ya Pala","formerly Citizens Convention Party"
51,063,Devolution Party of Kenya,DPK,22nd July 2015,Tap with running water,"Gold, Cream",38077-00100 Nairobi,"Regent Court, Suite A1, Along Argyrings Kodhek Road","Ugaluzi dans ya Wakanya",
52,064,United Democratic Party,UDP,22nd February 2016,Shield,"Maroon, White, Green",73179-00200 Nairobi,"Kabasiran Garden, Off Kabasiran Av, L1 No:20973406 Lavington","Ngao Yetu",
53,065,Kenya Reform Party,KRP,22nd February 2016,Mechanical gear and shaft, two leaves and two spears,"Gold, Red, Green, White, Black",30365-00100 Nairobi,"34, Rossylin Riviera, Limuru Road","Tunupane Tuendelee","formerly Diligence Development Alliance"
54,066,People's Trust Party,PTP,22nd September 2016,Arrow,"Blue, Red, Blue",3008-00506 Nairobi,"Perma Auto Mobile Building, Kangnato Road next to Massematit Supermarket, Machakos Town","Together we can",
55,067,Maendeleo Chap Chap,MCCP,22nd September 2016,Road,"Black, White, Yellow, Purple",10790-00100 Nairobi,Convert House No.38, Lavingdon.,"Inawazakana na Ilawezekana",
56,068,Democratic Congress,DC,1st November 2016,Butterfly,"Blue, Yellow",1128-00606 Nairobi,"Shikangu Road, South B, Nairoi",,
57,069,Liberal Democratic Party,LDP,1st November 2016,Satellite Dish,"Green, Blue, White",75845-00200 Nairobi,"Mercantile Ground Floor, Off Mombasa Road.","The face for Democracy",
58,070,Green Congress of Kenya,GCK,25th November 2016,Fire Green Trees,"Green, White",5634-00506 Nairobi,"Aac, Sir Francis Ibiam House, Westlands Nairobi","Mbele ko Sawa",
59,071,National Liberal Party,NLP,7th December 2016,Waier jet,"Red, Green",15948-00100 Nairobi,"Kabanri Road Nine Panets Plaza","Mivelekeo mpya kwa Masiba Bora",
60,072,Movement for Democracy and Growth,MDG,7th December 2016,Three fresh maize coke in their safety husks,"Bottle green, Yellow",28200623 Parklands,"Masaba Road, off Bunyala Road, Upper Hill, Nairobi","Funguo la masita funguo la usawa",
61,073,Alternative Leadership Party Of Kenya,ALP-K,20th December 2016,Burning Candle with an orange flame,Turquoise blue,35467-00100 Nairobi,"Promise House Building Next To Martile Arc Hotel, Lagos Road.","Usara Kenya",
62,074,Uswel Party,UP,24th January 2017,USAtaped green plat,"Green, Red, Yellow, Black, White",26543-00100 Nairobi,"Kenya House, 2nd Floor Rm 25, Koinange Street.","Uswel, Uwazi na Haki",
63,075,Empowerment and Liberation Party,ELP,24th January 2017,Ring with people holding hands in unison,"White, Royal Blue",43700902 Nairobi,"Karengala Park, Room No. 47 Nairobi",Tushikane,
64,076,Third Way Alliance Kenya.,TAKE,20th February 2017,Camel in Desert,Brown,4781-00100 Nairobi,"Roshammer Place Weswing, Lenana Road","Taking Back Our Country",
65,077,Justice and Freedom Party of Kenya,JFP,22nd February 2017,Stretched out hand holding freedom torch,"Purple, Gold",76004-00508 Nairobi,"Regent Court, Apartment B7 Arguings Kodhek Road.","Ukweli na Hati",
66,078,Grand Dream Development Party,GDDP,7th August 2018,Sack labeled GDP Dreams,"White, Gold, Blue",104414-00101 Nairobi,"Comer House, 4th Fir, Kimathi Street","Nobob Kuhwash",
67,079,United Green Movement,UGM,12th June 2019,Sun over the ocean.,Olive Green,22467-00100 Nairobi,"Green Action House, #71 Westlands Rd",Kumekucha,
68,080,Usawa Kwa Wide,UKW,7th June, 2019,A cow and milking can,"Green, Gold, Black",2642-00100 Nairobi,"Usawa House, Ambosel Lane, Off Amboseln Road, Larington Estate.","Usawa kwa Wide","formerly Civic Renewal Party"
69,081,United Progressive Alliance,UPA,9th March 2020,Two-wheeler motorcycle, captioned in a circular frame,"Green, Red, Black",40016-00100 Nairobi,"Upa House, Kleieshwa","Asie and Shine","formerly Party of Economic Democracy"
70,082,The Service Party,TSP,9th June 2020,Heart shape inscribed inside a circle,"Royal blue, Mustard yellow, Red, Black, White",775/0618 Nairobi,"Upper Hill, Matumbato Road, House No.25 Nairoi","Service to Humanity is Service to Got",
71,083,National Ordinary People Empowerment Union,NOPEU,9th June 2020,Ladder,"Black, Red Stipes",17987-00580 Nairobi,"Railway Godown, Bunyala Road",NOPEU,
72,084,National Reconstruction Alliance,NRA,2nd February 2021,Eagle,"Blue, Red",104083-00101 Nairobi,Maissia -Ngung,,
73,085,Democratic Action Party-Kenya,DAP-K,17th May 2021,Leopard,"Blue, White, Black",10459-00100 Nairobi,"Chui House, Kilmani, Nairobi",,
74,086,Party for Peace and Development,PPD,21st July 2021,Triangle,"Red, White, Green, Black",1038-00232 Nairobi,Federico Plaza, Ruiru.,,"formerly Party for Peace and Democracy"
75,087,Chama Cha Kazi,KAZI,17th August 2021,Overall coat,"Blue, Red, White",1838-00200 Nairobi,"The Avalon Building, 5th Floor, Ngong Road, Nairobi",,
76,088,Tuplebe Waknya Paty,JIBEBE,12th October 2021,Buffalo,"Blue, White, Beige",2245-00100 Nairobi,Chinron Road,,
77,089,Kenya Union Paty,KLIP,12th October 2021,Two Vertical Ticks,"Blue, Red, White",15672-00509 Nairobi,Whyi Plaza Block Rm 10-Gaana,,
78,090,Democratic National Alliance,DNA,15th October 2021,Traditional pot with collar,"Green, Gold, Blue, White",78536-00507, Nairobi,"Karen Professional Centre, Office GSMC, Karen Road.",,
79,091,Pan African Alliance,PAA,18th October 2021,Traditional Inhabited African Hut,"Blue, Yellow",34040-80118, Nyali,Paa House, Nyali,,
80,092,Makadara Party of Kenya,MAPK,12th October 2021,Honey Bee,Gold,00505-21689 Nairobi,"Huffingham, Rose Avenue, Nairobi",,
81,093,Entrust Pioneer Party,EPP,18th October 2021,Padock and Chain,"Black, Pink, White",22453-00100 Nairobi,Bazaar Plaza.,,
