SNo,Surname,OtherNames,CountyCode,County,ConstituencyCode,ConstituencyName,CAWCode,CAWName,PartyCode,PartyName,PartyAbbreviation,ElectionType,Contested
72,Obara,Jared,,004,Tana River,019,Galole,0094,Chewani,081,United Progressive Alliance,UPA,County Assembly,Yes
73,Kolosho,Hassan Aden,007,Garissa,031,Fafi,0155,Fafi,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly,Yes
74,Mohamed,Feisal Gedi,007,Garissa,031,Fafi,0155,Fafi,021,Orange Democratic Movement,ODM,County Assembly,Yes
75,Maalim,Diriye Ibrahim,007,Garissa,031,Fafi,0155,Fafi,015,United Democratic Alliance,UDA,County Assembly,Yes
76,Joel,Richard Nzioki,016,Machakos,081,Machakos Town,0402,Mumbuni North,036,Chama Cha Uzalendo,CCU,County Assembly,Yes
77,Muli,Nzomo,,016,Machakos,081,Machakos Town,0402,Mumbuni North,078,Grand Dream Development Party,GDDP,County Assembly,Yes
78,Wambua,Stephen Kilonzo,016,Machakos,081,Machakos Town,0402,Mumbuni North,011,Kenya Moja Movement,KMM,County Assembly,Yes
79,Mutuku,Harrison Wambua,016,Machakos,081,Machakos Town,0402,Mumbuni North,067,Maendeleo Chap Chap Party,MCCP,County Assembly,Yes
80,Mbatha,Carlweathers Mutisya,016,Machakos,081,Machakos Town,0402,Mumbuni North,071,National Liberal Party,NLP,County Assembly,Yes
81,Mutiso,Stephen Nzioka,016,Machakos,081,Machakos Town,0402,Mumbuni North,007,Party of independent Candidate of Kenya,PICK,County Assembly,Yes
82,Muia,Stephen Mutua,016,Machakos,081,Machakos Town,0402,Mumbuni North,025,Progressive Party of Kenya,PPOK,County Assembly,Yes
83,Muema,Jones Benson,016,Machakos,081,Machakos Town,0402,Mumbuni North,066,People's Trust Party,PTP,County Assembly,Yes
84,Mutua,Misi,,016,Machakos,081,Machakos Town,0402,Mumbuni North,015,United Democratic Alliance,UDA,County Assembly,Yes
85,Nzioki,Naomi Nduku,016,Machakos,081,Machakos Town,0402,Mumbuni North,081,United Progressive Alliance,UPA,County Assembly,Yes
86,Kyalo,Antony,,016,Machakos,081,Machakos Town,0402,Mumbuni North,012,Wiper Patriotic Front,WPF,County Assembly,Yes
87,Lochilli,Stephen Ekiru,023,Turkana,123,Turkana North,0612,Lake Zone,021,Orange Democratic Movement,ODM,County Assembly,Yes
88,Erot,John Namesek,023,Turkana,123,Turkana North,0612,Lake Zone,015,United Democratic Alliance,UDA,County Assembly,Yes
89,John,Meyan,023,Turkana,123,Turkana North,0612,Lake Zone,041,United Democratic Movement,UDM,County Assembly,Yes
90,Lokaalei,Hashim Kerio,023,Turkana,124,Turkana West,0623,Nanaan,023,Forum for Restoration of Democracy - Kenya,FORD-KENYA,County Assembly,Yes
91,Eruth,Francis Mio,023,Turkana,124,Turkana West,0623,Nanaan,011,Kenya Moja Movement,KMM,County Assembly,Yes
92,Yussuf,Mohammed Ahmed,023,Turkana,124,Turkana West,0623,Nanaan,021,Orange Democratic Movement,ODM,County Assembly,Yes
93,Napelkar,Cosmas Longor,023,Turkana,124,Turkana West,0623,Nanaan,015,United Democratic Alliance,UDA,County Assembly,Yes
94,Lenkupae,Pruline Nasieku,025,Samburu,134,Samburu North,0670,Angata Nanyokie,037,National Agenda Party of Kenya,NAP-K,County Assembly,Yes
95,Loisia,Letoluai,025,Samburu,134,Samburu North,0670,Angata Nanyokie,021,Orange Democratic Movement,ODM,County Assembly,Yes
96,Leshimpiroo,Isabella,025,Samburu,134,Samburu North,0670,Angata Nanyokie,015,United Democratic Alliance,UDA,County Assembly,Yes
97,Leting,Shaffle Korir,029,Nandi,154,Chesumei,0765,Chemundu/Kapng'etuny,033,Kenya African National Union,KANU,County Assembly,Yes
98,Kipchumba,David Too,029,Nandi,154,Chesumei,0765,Chemundu/Kapng'etuny,0100,The Equitable Party,TEP,County Assembly,Yes
99,Kirwa,Robert Kipchirchir,029,Nandi,154,Chesumei,0765,Chemundu/Kapng'etuny,040,The New Democrats,TND,County Assembly,Yes
100,Ruto,Vincent Kiplimo,029,Nandi,154,Chesumei,0765,Chemundu/Kapng'etuny,015,United Democratic Alliance,UDA,County Assembly,Yes
101,Masikonde,Douglas Twala,033,Narok,179,Narok North,0893,Narok Town,0103,Democracy for the Citizens Party,DCP,County Assembly,Yes
102,Nkere,Tobiko Mbugua,033,Narok,179,Narok North,0893,Narok Town,013,Democratic Party of Kenya,DP,County Assembly,Yes
103,Sino,Peter Odhiambo,033,Narok,179,Narok North,0893,Narok Town,093,Entrust Pioneer Party,EPP,County Assembly,Yes
104,Kaputah,Joshua Kitaro,033,Narok,179,Narok North,0893,Narok Town,027,Jubilee Party,JP,County Assembly,Yes
105,Kago,Ian Duncan,033,Narok,179,Narok North,0893,Narok Town,011,Kenya Moja Movement,KMM,County Assembly,Yes
106,Pere,Alfred Kailet,033,Narok,179,Narok North,0893,Narok Town,021,Orange Democratic Movement,ODM,County Assembly,Yes
107,Ndungu,Anthony Gichuki,033,Narok,179,Narok North,0893,Narok Town,058,Republican Liberty Party,RLP,County Assembly,Yes
108,Opondo,Musinya Okuparu,033,Narok,179,Narok North,0893,Narok Town,034,Safina Party,SAFINA,County Assembly,Yes
109,Kudate,Robert Kanyinke Ole,033,Narok,179,Narok North,0893,Narok Town,015,United Democratic Alliance,UDA,County Assembly,Yes
110,Njapit,Felix Johanah,033,Narok,179,Narok North,0893,Narok Town,064,United Democratic Party,UDP,County Assembly,Yes
111,Ontita,Erick,033,Narok,179,Narok North,0893,Narok Town,081,United Progressive Alliance,UPA,County Assembly,Yes
112,Tirike,Evanson Parsimei,033,Narok,179,Narok North,0893,Narok Town,012,Wiper Patriotic Front,WPF,County Assembly,Yes
113,Saidimu,Sanare Tipatet,034,Kajiado,184,Kajiado Central,0916,Purko,0103,Democracy for the Citizens Party,DCP,County Assembly,Yes
114,Naikuni,Daniel Turpesio,034,Kajiado,184,Kajiado Central,0916,Purko,021,Orange Democratic Movement,ODM,County Assembly,Yes
115,Mpusia,Amos Maayiai,034,Kajiado,184,Kajiado Central,0916,Purko,015,United Democratic Alliance,UDA,County Assembly,Yes
116,Muchelule,David Moi Henry,037,Kakamega,208,Khwisero,1038,Kisa East,017,Agano National Party,AGANO,County Assembly,Yes
117,Isaiah,Ayaya Abraham,037,Kakamega,208,Khwisero,1038,Kisa East,085,Democratic Action Party - Kenya,DAP-K,County Assembly,Yes
118,Okwiri,Dickson Aduda,037,Kakamega,208,Khwisero,1038,Kisa East,0103,Democracy for the Citizens Party,DCP,County Assembly,Yes
119,Namai,Raphael Mukolwe,037,Kakamega,208,Khwisero,1038,Kisa East,090,Democratic National Alliance,DNA,County Assembly,Yes
120,Uside,Pauline,,037,Kakamega,208,Khwisero,1038,Kisa East,077,Justice and Freedom Party of Kenya,JFP,County Assembly,Yes
121,Mumia,Maclean Khatete,037,Kakamega,208,Khwisero,1038,Kisa East,033,Kenya African National Union,KANU,County Assembly,Yes
122,Otwoma,Joel Ongoro,037,Kakamega,208,Khwisero,1038,Kisa East,072,Movement for Democracy and Growth,MDG,County Assembly,Yes
123,Shikunyi,John Masetu,037,Kakamega,208,Khwisero,1038,Kisa East,021,Orange Democratic Movement,ODM,County Assembly,Yes
124,Shiraku,James,,037,Kakamega,208,Khwisero,1038,Kisa East,015,United Democratic Alliance,UDA,County Assembly,Yes
125,Nyabuto,Stephen Amwayi,037,Kakamega,208,Khwisero,1038,Kisa East,041,United Democratic Movement,UDM,County Assembly,Yes
